League,Name,DateStart,DateStart__precision
2016 International Wildcard Qualifier,IWCQ 2016,24/08/2016,1
Circuit Brazilian League of Legends,CBLOL 2023 Split 1,21/01/2023,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 2 Playoffs,12/08/2022,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 2,11/06/2022,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 1 Playoffs,25/03/2022,1
Circuit Brazilian League of Legends,CBLOL 2022 Split 1,22/01/2022,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 2 Playoffs,07/08/2021,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 2,05/06/2021,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 1 Playoffs,27/03/2021,1
Circuit Brazilian League of Legends,CBLOL 2021 Split 1,16/01/2021,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 2 Playoffs,22/08/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 2,06/06/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 2 Promotion,19/05/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 1 Playoffs,02/05/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 1,25/01/2020,1
Circuit Brazilian League of Legends,CBLOL 2020 Split 1 Promotion,21/09/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 2 Playoffs,24/08/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 2,01/06/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 2 Promotion,27/04/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 1 Playoffs,06/04/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 1,12/01/2019,1
Circuit Brazilian League of Legends,CBLOL 2019 Split 1 Promotion,14/09/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 2 Playoffs,11/08/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 2,09/06/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 2 Promotion,14/04/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 1 Playoffs,17/03/2018,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 1,20/01/2018,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 2 Playoffs,19/08/2017,1
Circuit Brazilian League of Legends,CBLOL 2018 Split 1 Promotion,05/08/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 2,03/06/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 1 Playoffs,25/03/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 2 Promotion,18/03/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 1,21/01/2017,1
Circuit Brazilian League of Legends,CBLOL 2017 Split 1 Promotion,22/07/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 2 Playoffs,24/06/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 2,19/05/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 2 Promotion,09/04/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 1 Playoffs,12/03/2016,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 1,16/01/2016,1
Circuit Brazilian League of Legends,CBLOL All-Star 2015,22/11/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Post-Season,12/11/2015,1
Circuit Brazilian League of Legends,CBLOL 2016 Split 1 Promotion,04/11/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 2 Playoffs,11/07/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 2,23/05/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 2 Promotion,01/05/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 1 Playoffs,21/03/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 1,17/01/2015,1
Circuit Brazilian League of Legends,CBLOL 2015 Split 1 Qualifiers,15/11/2014,1
Circuit Brazilian League of Legends,CBLOL 2014 Champions Series Playoffs,07/06/2014,1
Circuit Brazilian League of Legends,Brazilian Champions Series 2014,26/04/2014,1
Copa Latinoamérica Sur,CLS 2018 Closing Playoffs,30/08/2018,1
Copa Latinoamérica Sur,CLS 2018 Closing,16/06/2018,1
Copa Latinoamérica Sur,CLS 2018 Closing Promotion,26/04/2018,1
Copa Latinoamérica Sur,CLS 2018 Opening Playoffs,29/03/2018,1
Copa Latinoamérica Sur,CLS 2018 Opening,20/01/2018,1
Copa Latinoamérica Sur,CLS 2018 Opening Promotion,03/08/2017,1
Copa Latinoamérica Sur,CLS 2017 Closing Playoffs,27/07/2017,1
Copa Latinoamérica Sur,CLS 2017 Closing,01/06/2017,1
Copa Latinoamérica Sur,CLS 2017 Closing Promotion,30/03/2017,1
Copa Latinoamérica Sur,CLS 2017 Opening Playoffs,23/03/2017,1
Copa Latinoamérica Sur,CLS 2017 Opening,19/01/2017,1
Copa Latinoamérica Sur,CLS 2017 Preseason,02/11/2016,1
Copa Latinoamérica Sur,CLS 2017 Opening Promotion,06/08/2016,1
Copa Latinoamérica Sur,LAS 2016 Closing Cup Playoffs,20/07/2016,1
Copa Latinoamérica Sur,LAS 2016 Closing Cup,25/05/2016,1
Copa Latinoamérica Sur,LAS 2016 Closing Cup Promotion,25/03/2016,1
Copa Latinoamérica Sur,LAS 2016 Opening Cup Playoffs,10/03/2016,1
Copa Latinoamérica Sur,LAS 2016 Opening Cup,04/02/2016,1
Copa Latinoamérica Sur,LAS 2016 Opening Cup Promotion,28/07/2015,1
Copa Latinoamérica Sur,LAS 2015 Closing Cup Playoffs,07/07/2015,1
Copa Latinoamérica Sur,LAS 2015 Closing Cup,02/06/2015,1
Copa Latinoamérica Sur,LAS 2015 Closing Cup Promotion,13/04/2015,1
Copa Latinoamérica Sur,LAS 2015 Opening Cup Playoffs,23/03/2015,1
Copa Latinoamérica Sur,LAS 2015 Opening Cup,09/02/2015,1
Copa Latinoamérica Sur,LAS 2015 Opening Cup Promotion,22/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 4,18/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 3,17/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 2,11/01/2015,1
Copa Latinoamérica Sur,LAS Opening Cup 2015 Promotion Qualifier 1,10/01/2015,1
DreamHack,DreamHack Winter 2021,26/11/2021,1
DreamHack,DreamHack Valencia 2020,17/10/2020,1
DreamHack,DreamHack Winter 2019,29/11/2019,1
DreamHack,DreamHack Atlanta 2019,16/11/2019,1
DreamHack,DreamHack Rotterdam 2019,18/10/2019,1
DreamHack,DreamHack Montreal 2019,07/09/2019,1
DreamHack,DreamHack Summer 2019,16/06/2019,1
DreamHack,DreamHack Dallas 2019,01/06/2019,1
DreamHack,DreamHack Tours 2019,17/05/2019,1
DreamHack,DreamHack Rio 2019 Showmatch,19/04/2019,1
DreamHack,DreamHack Winter 2018 Female,30/11/2018,1
DreamHack,Dreamhack Montreal 2018,08/09/2018,1
DreamHack,DreamHack Summer 2018 Female,17/06/2018,1
DreamHack,DreamHack Summer 2018,16/06/2018,1
DreamHack,DreamHack Tours 2018,19/05/2018,1
DreamHack,DreamHack Tours 2018 - Qualifier,05/05/2018,1
DreamHack,DreamHack Leipzig 2018,26/01/2018,1
DreamHack,Dreamhack Montreal 2017,09/09/2017,1
DreamHack,DreamHack Valencia 2017,13/07/2017,1
DreamHack,DreamHack Lenovo Cup 2017,18/06/2017,1
DreamHack,DreamHack Summer 2017,18/06/2017,1
DreamHack,DreamHack Tours 2017,06/05/2017,1
DreamHack,DreamHack Valencia 2016,14/07/2016,1
DreamHack,DreamHack Tours 2016,14/05/2016,1
DreamHack,DreamHack 2015 Winter,26/11/2015,1
DreamHack,DreamHack Cluj Napoca 2015,31/10/2015,1
DreamHack,DreamHack Valencia 2015,17/07/2015,1
DreamHack,DreamHack Summer 2015,30/05/2015,1
DreamHack,DreamHack Tours 2015,08/05/2015,1
DreamHack,DreamHack Bucharest 2015,24/04/2015,1
DreamHack,DreamHack Winter 2014,27/11/2014,1
DreamHack,DreamHack Bucharest 2014,31/10/2014,1
